aw_product_id,merchant_product_id,merchant_image_url,aw_image_url,product_name,merchant_name,merchant_id,category_name,merchant_category,description,keywords,buy_url,in_stock,stock_quantity,search_price,currency_symbol,dimensions,colour,language,last_updated,product_type
AW_SANDRO_001,SAN-CHE-001,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=800,Chemise oversize en popeline,Sandro,TEST_MERCHANT,Tops,Chemises,Chemise oversize coupe fluide en popeline légère. Col classique boutonnée devant.,chemise,oversize,popeline,https://www.sandro-paris.com/chemise-001,1,15,195.00,EUR,S;M;L,Off-white,fr,2026-06-01,Tops
AW_SANDRO_002,SAN-MAN-001,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=800,Manteau laine bouclette,Sandro,TEST_MERCHANT,Outerwear,Manteaux,Manteau oversize en laine bouclette ivoire. Coupe droite col châle.,manteau,laine,bouclette,https://www.sandro-paris.com/manteau-001,1,3,590.00,EUR,XS;S;M;L,Ivory,fr,2026-06-01,Outerwear
AW_APC_001,APC-PAN-001,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=800,Pantalon taille haute droit,A.P.C.,TEST_MERCHANT,Bottoms,Pantalons,Pantalon taille haute coupe droite en gabardine. Fermeture zip sur le côté.,pantalon,taille haute,droit,https://www.apc.fr/pantalon-001,1,8,290.00,EUR,34;36;38;40;42,Camel,fr,2026-06-01,Bottoms
AW_APC_002,APC-BLA-001,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,Blazer structuré double boutonnage,A.P.C.,TEST_MERCHANT,Tops,Vestes,Blazer en laine structurée double boutonnage. Coupe ajustée épaules marquées.,blazer,structuré,double boutonnage,https://www.apc.fr/blazer-001,1,5,450.00,EUR,XS;S;M;L,Black,fr,2026-06-01,Tops
AW_ARKET_001,ARK-PUL-001,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=800,Pull col V en laine mérinos,Arket,TEST_MERCHANT,Tops,Maille,Pull col V en laine mérinos 100%. Coupe relaxée manches longues.,pull,col V,mérinos,https://www.arket.com/pull-001,1,20,119.00,EUR,XS;S;M;L;XL,Ecru,fr,2026-06-01,Tops
AW_ARKET_002,ARK-TSH-001,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,T-shirt col rond coton pima,Arket,TEST_MERCHANT,Tops,T-shirts,T-shirt en coton pima biologique. Coupe droite col rond.,t-shirt,coton,pima,https://www.arket.com/tshirt-001,1,50,49.00,EUR,XS;S;M;L;XL,White,fr,2026-06-01,Tops
AW_ROUJE_001,ROJ-ROB-001,https://images.unsplash.com/photo-1572804013427-4d7ca7268217?w=400,https://images.unsplash.com/photo-1572804013427-4d7ca7268217?w=800,Robe midi en satin,Rouje,TEST_MERCHANT,Dresses,Robes,Robe midi en satin fluide. Encolure carrée bretelles fines.,robe,midi,satin,https://www.rouje.com/robe-001,1,7,245.00,EUR,34;36;38;40,Blush pink,fr,2026-06-01,Dresses
AW_ROUJE_002,ROJ-JUP-001,https://images.unsplash.com/photo-1583496661160-fb5974ca5e53?w=400,https://images.unsplash.com/photo-1583496661160-fb5974ca5e53?w=800,Jupe longue plissée,Rouje,TEST_MERCHANT,Bottoms,Jupes,Jupe longue plissée taille élastiquée. Tissu léger fluide.,jupe,longue,plissée,https://www.rouje.com/jupe-001,1,12,185.00,EUR,34;36;38;40;42,Terracotta,fr,2026-06-01,Bottoms
AW_SEZANE_001,SEZ-BOT-001,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=800,Bottines à talon carré,Sézane,TEST_MERCHANT,Shoes,Chaussures,Bottines en cuir à talon carré 6 cm. Fermeture zip intérieur.,bottines,talon carré,cuir,https://www.sezane.com/bottines-001,1,6,265.00,EUR,35;36;37;38;39;40;41,Camel,fr,2026-06-01,Shoes
AW_SEZANE_002,SEZ-JEA-001,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=800,Jean straight leg 90s,Sézane,TEST_MERCHANT,Bottoms,Jeans,Jean straight taille haute coupe 90s en denim brut. 5 poches.,jean,straight,90s,https://www.sezane.com/jean-001,1,18,135.00,EUR,34;36;38;40;42,Indigo blue,fr,2026-06-01,Bottoms
AW_BALZAC_001,BAL-CHE-001,https://images.unsplash.com/photo-1602810316498-ab67cf68c8e1?w=400,https://images.unsplash.com/photo-1602810316498-ab67cf68c8e1?w=800,Chemise en lin froissé,Balzac Paris,TEST_MERCHANT,Tops,Chemises,Chemise en lin naturel froissé. Coupe légèrement oversize col classique.,chemise,lin,froissé,https://www.balzac-paris.fr/chemise-001,1,22,89.00,EUR,XS;S;M;L;XL,Sand,fr,2026-06-01,Tops
AW_APC_003,APC-CAR-001,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=400,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=800,Cardigan long ouvert,A.P.C.,TEST_MERCHANT,Tops,Maille,Cardigan long oversize en laine et alpaga. Coupe fluide sans fermeture.,cardigan,long,ouvert,https://www.apc.fr/cardigan-001,1,4,320.00,EUR,XS;S;M;L,Heather grey,fr,2026-06-01,Tops
AW_SANDRO_003,SAN-SAC-001,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800,Sac à main en cuir grainé,Sandro,TEST_MERCHANT,Bags,Sacs,Sac à main en cuir grainé. Bandoulière amovible réglable. Fermeture magnétique.,sac,cuir,grainé,https://www.sandro-paris.com/sac-001,1,9,395.00,EUR,One size,Cognac,fr,2026-06-01,Bags
AW_ROUJE_003,ROJ-BLO-001,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?w=400,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?w=800,Blouse en soie imprimée,Rouje,TEST_MERCHANT,Tops,Blouses,Blouse en soie naturelle imprimée fleurie. Col V boutonné devant.,blouse,soie,imprimée,https://www.rouje.com/blouse-001,1,11,215.00,EUR,34;36;38;40,Cream floral,fr,2026-06-01,Tops
AW_BALZAC_002,BAL-ROB-001,https://images.unsplash.com/photo-1572804013427-4d7ca7268217?w=400,https://images.unsplash.com/photo-1572804013427-4d7ca7268217?w=800,Robe chemise en coton,Balzac Paris,TEST_MERCHANT,Dresses,Robes,Robe chemise en coton lavé. Col classique ceinture à nouer.,robe,chemise,coton,https://www.balzac-paris.fr/robe-001,0,0,145.00,EUR,34;36;38;40;42,Ecru,fr,2026-06-01,Dresses
